Author/Year,Paper Title,Description
"Bruce et al. <a href=""#ref-bruce2015"" role=""doc-biblioref"">(2015)</a>",A model of oxygen and nitrogen biogeochemical response to hydrodynamic regimes in the Yarra River estuary,
"Huang et al. <a href=""#ref-huang2019"" role=""doc-biblioref"">(2019)</a>",An integrated modelling system for water quality forecasting in an urban eutrophic estuary: The Swan-Canning Estuary virtual observatory,
