`alk_mode`,$p00$,$p10$,$p01$,$p20$,$p11$,$p02$
`alk_mode=2`,334.4,-2.123,0.7194,0.2259,7.65E-04,4.96E-05
`alk_mode=3`,-258.8,34.59,0.9923,0.8186,-3.10E-02,1.05E-04
`alk_mode=4`,-47.51,-17.21,1.32,0.1439,1.22E-02,-2.06E-04
`alk_mode=5`,357.8,-2.095,0.6931,0.2244,7.71E-04,5.63E-05
